News,Fake
"['say', 'u', 'suprem', 'court', 'justic', 'suggest', 'u', 'case', 'decid', 'base', 'south', 'african', 'law']",0
"['say', 'marco', 'rubio', 'skip', '18', 'defens', 'vote', 'includ', 'one', 'arm', 'kurd', 'fight', 'isi']",1
"['rep', 'david', 'cicillin', 'respons', 'feder', 'loan', 'guarante', 'solyndra', 'fail', 'solar', 'compani']",0
"['say', 'ohio', 'budget', 'item', 'later', 'sign', 'law', 'gov', 'john', 'kasich', 'requir', 'women', 'seek', 'abort', 'undergo', 'mandatori', 'vagin', 'probe']",0
"['director', 'homeland', 'secur', 'cannot', 'use', 'use', 'term', 'terrorist', 'attack', 'instead', 'substitut', 'man-mad', 'disast']",0
"['african-american', 'youth', 'unemploy', '51', 'percent', 'hispan', 'youth', 'unemploy', '36', 'percent']",1
"['obamacar', 'provid', 'insur', 'non-u', 'resid', 'even', 'illeg']",0
"['presid', 'barack', 'obama', 'took', 'exactli', 'none', 'deficit', 'reduct', 'commiss', 'idea', 'one']",0
"['barack', 'obama', 'hillari', 'clinton', 'chang', 'rule', 'engag', 'probabl', 'cost', 'capt', 'humayun', 'khan', 'life']",0
"['hillari', 'clinton', '2005', 'co-sponsor', 'legisl', 'would', 'jail', 'flag', 'burner']",1
"['say', 'paperback', 'edit', 'mitt', 'romney', 'book', 'delet', 'line', 'massachusett', 'individu', 'mandat', 'model', 'countri']",0
"['maggi', 'hassan', 'rais', 'tuition', 'make', 'highest', 'america']",0
"['say', 'terri', 'mcauliff', 'person', 'invent', 'scheme', 'rent', 'lincoln', 'bedroom']",0
"['creat', '800,000', 'new', 'job', 'cut', 'unemploy', 'rate', 'almost', 'half', 'today', 'new', 'york', 'state', 'privat', 'sector', 'job', 'ever', 'histori']",1
"['town', 'west', 'texa', 'water', 'truck', 'water']",0
"['georgia', 'women', 'earn', '82', 'cent', 'everi', 'dollar', 'earn', 'men']",1
"['feder', 'system', 'verifi', 'employe', 'author', 'work', 'u', 'inaccur', 'anywher', '50', 'percent', 'way', 'excess', '80', 'percent', 'time']",1
"['go', 'build', 'wall', 'ago', 'long', 'ago', 'like', '06', 'couldnt', 'get', 'environment', 'impact', 'statement']",0
"['sen', ""obama'"", 'campaign', 'announc', ""he'"", 'choos', 'cabinet']",0
"['2008', '54', 'percent', 'latino', 'texa', 'regist', 'vote', '35', 'percent', 'actual', 'turn']",1
"['2', 'percent', 'public', 'high', 'school', 'countri', 'offer', 'pe', 'class']",0
"['said', ""he'"", 'republican', 'candid', ""who'"", 'actual', 'turn', 'around', 'govern', 'economi']",1
"['militari', 'recruit', 'harvard', 'elena', 'kagan', 'took', 'posit', 'suprem', 'court', 'rule', 'unanim', 'wrong']",1
"['321,092', 'public', 'school', 'teacher', 'texa', '313,850', 'non-teach', 'public', 'school']",1
"['mayor', 'cicillin', 'provid', 'sanctuari', 'citi']",0
"['transgend', 'individu', 'u', '1', '12', 'chanc', 'murder']",0
"['bain', 'capit', 'help', 'start', 'earli', 'childhood', 'learn', 'compani', 'call', 'bright', 'horizon', 'first', 'ladi', 'michel', 'obama', 'rightli', 'prais']",1
"['say', 'man', 'rush', 'stage', 'dayton', 'ohio', 'chatter', 'isi', 'isi', 'social', 'media', 'post']",0
"['u', 'rep', 'phil', 'gingrey', 'gave', 'govern', 'power', 'electron', 'spi', 'american', 'without', 'warrant']",0
"['alex', 'sink', 'funnel', 'three', 'quarter', 'million', 'dollar', 'no-bid', 'contract', 'bank', 'america']",0
"['take', 'popul', 'growth', 'virginia', 'net', 'zero', 'job', 'creation', 'sinc', 'bob', 'mcdonnel', 'becam', 'governor']",1
"['obama', 'home', 'valu', 'florida', 'collaps', 'construct', 'job', 'lost', 'state', 'high', 'foreclosur', 'rate']",0
"['new', 'arizona', 'immigr', 'law', 'say', 'polic', 'offic', 'stop', 'anyon', 'appear', 'reason', 'suspici', 'undocu', 'person']",1
"['time', 'histori', 'debt', 'higher', 'end', 'world', 'war', 'ii']",1
"['cost', 'health', 'care', 'single-biggest', 'factor', 'drive', 'feder', 'budget', 'deficit']",1
"['recess', 'consum', 'nativ', 'pervers', 'begun', 'save', 'save', 'rate', '6.2', 'percent']",1
"['whether', 'u', 'suprem', 'court', 'nomine', 'forthcom', 'confirm', 'hear']",0
"['say', 'one', 'three', 'u', 'homeless', 'men', 'veteran']",0
"['say', 'charli', 'crist', 'support', 'cut', 'medicar', 'advantag', 'program']",0
"['think', 'unaccept', 'chines', 'today', 'larger', 'wind', 'power', 'solar', 'panel', 'photovolta', 'manufactur', 'europ', 'put', 'togeth', 'forget', 'unit', 'state']",1
"['say', 'scott', 'brown', 'co-sponsor', 'legisl', 'let', 'employ', 'deni', 'women', 'coverag', 'birth', 'control']",1
"['point', 'live', '99', 'women', 'use', 'birth', 'control']",1
"['past', '20', 'year', 'egypt', 'made', 'great', 'stride', 'polit', 'democrat', 'reform']",0
"['amount', 'attent', 'paid', 'week', 'chri', 'christi', 'make', 'coverag', 'benghazi', '...', 'pale', 'signific']",0
"['say', 'u', 'rep', 'steve', 'southerland', 'vote', 'keep', 'shutdown', 'go']",1
"['rick', 'perri', 'texa', 'import', 'nurs', '...', 'countri']",1
"['feder', 'crimin', 'law', 'say', 'crime', 'transport', 'dentur', 'across', 'state', 'line']",1
"['built', 'new', 'prison', 'everi', '10', 'day', '1990', '2005', 'keep', 'mass', 'incarcer', 'explos', 'nonviol', 'offend']",1
"['sen', ""mccain'"", 'tax', 'plan', 'provid', 'virtual', 'noth', 'middl', 'class']",0
"['austin', 'burden', 'fastest-grow', 'tax', 'increas', 'major', 'citi', 'nation']",0
"['phoenix', 'arizona', '2', 'kidnap', 'capit', 'world']",0
"['belong', 'afl-cio']",1
"['insur', 'commission', 'cant', 'squat', 'health', 'care']",1
"['say', 'poll', 'found', 'republican', 'candid', 'could', 'beat', 'barack', 'obama', 'texa', 'eight', 'point']",1
"['presid', 'ronald', 'reagan', 'sent', 'troop', 'conflict', 'one', 'circumst', 'grenada', 'peacekeep', 'set', 'lebanon']",0
"['say', 'david', 'jolli', 'support', 'privat', 'social', 'secur']",0
"['know', 'us', 'popul', 'growth', 'lowest', 'sinc', 'great', 'depress']",1
"['averag', 'student', 'florida', 'actual', 'pay', 'pocket', 'major', 'univers', 'tuition', 'much', 'less', 'spend', 'cellphon']",1
"['sinc', '1968', 'american', 'die', 'gunfir', 'die', 'war', 'countri', 'histori']",1
"['foreclosur', 'tax', 'would', 'take', 'effect', '2013', 'could', 'mean', 'high', 'tax', 'bill', 'face', 'foreclosur', 'million', 'famili', 'modifi', 'mortgag', 'short', 'sale', 'lender']",1
"['florida', 'depart', 'agricultur', 'websit', 'freshfromflorida.com', 'use', 'get', 'permit', 'carri', 'load', 'hidden', 'gun', 'without', 'ever', 'leav', 'hous']",0
"['atlanta', 'streetcar', 'expect', 'creat', '930', 'job', 'construct', 'total', '5,600', 'job', 'next', '20', 'year']",0
"['rais', 'minimum', 'wage', '10', 'hour', 'would', 'help', 'lift', 'million', 'american', 'poverti']",1
"['say', 'secretari', 'state', 'john', 'kerri', 'senat', 'flew', 'managua', 'met', 'communist', 'dictat', 'daniel', 'ortega', 'accus', 'reagan', 'administr', 'engag', 'terror']",1
"['nato', 'open', 'major', 'terror', 'divis', '. ...', 'im', 'sure', 'im', 'go', 'get', 'credit', 'larg', 'say', 'critic', 'nato']",0
"['sen', 'obama', 'alway', '100', 'percent', 'prochoic', 'rate']",1
"['sinc', 'gina', 'raimondo', 'took', 'offic', 'invest', 'fee', 'state', 'pension', 'portfolio', 'gone', 'million', 'annual', 'million']",1
"['feder', 'debt', 'grow', 'billion', 'day']",1
"['presid', 'barack', 'obama', 'job', 'bill', 'state', 'would', 'longer', 'lay', 'teacher', 'firefight', 'polic', 'offic']",1
"['98,000', 'teacher', 'k', '12', '53,000', 'teacher', 'today', '50', 'year', 'old']",0
"['two-third', 'wisconsinit', 'receiv', 'unemploy', 'check', 'requir', 'search', 'work', 'due', 'current', 'work', 'search', 'exempt']",1
"['presid', 'obama', 'health-car', 'reform', 'premium', 'averag', 'plan', 'famili', 'didnt', 'go', '500', 'per', 'year', 'gone', '500', 'per', 'year']",1
"['ir', 'also', 'investig', 'liber', 'group', 'group', 'progress', 'name', '. ...', 'ir', 'basic', 'look', 'everybodi']",1
"['say', 'obama', 'promis', 'unemploy', 'would', 'never', 'go', '8', 'percent']",0
"['economi', 'creat', 'job', 'fastest', 'pace', 'sinc', '1999']",1
"['presid', 'obama', 'decid', 'meet', 'prime', 'minist', 'benjamin', 'netanyahu', 'new', 'york']",1
"['major', 'state', 'marri', 'freeli', 'still', 'fire', 'love']",1
"['say', 'oregon', 'rep', 'peter', 'defazio', 'earl', 'blumenau', 'socialist', 'openli', 'serv', 'u', 'congress']",0
"['rudi', 'giuliani', 'probabl', 'underqualifi', 'man', 'sinc', 'georg', 'bush', 'seek', 'presid']",0
"['half', 'presid', 'governor', 'half', 'senat']",0
"['britain', 'vote', 'leav', 'european', 'union', 'within', '24', 'hour', 'american', 'lost', 'billion', '401', 'k']",1
"['medicaid', 'spend', 'declin', '1.9', 'percent', '2012', 'second', 'declin', '47', 'year']",1
"['say', '88', 'texa', 'constabl', 'die', 'line', 'duti']",1
"['gov', 'rick', 'scott', 'cut', 'cost', 'prepaid', 'colleg', 'tuition', 'nearli', '000']",1
"['citi', 'columbu', 'would', 'save', 'million', 'year', 'employe', 'contribut', 'guaranteed-check', 'pension']",1
"[""florida'"", 'cfo', 'shut', ""krakow'"", 'scam', 'refund', '2', 'million', 'josephin', 'victim', 'con', 'man']",1
"['women', 'get', 'comput', 'scienc', 'degre', '80', 'factor', '2', 'plu']",1
"['air', 'forc', 'want', 'taxpay', 'fund', 'fantasi', 'footbal', 'leagu']",0
"['barack', 'hussein', 'obama', '...', 'forc', 'court', 'accept', 'islam', 'sharia', 'law', 'domest', 'disput']",0
"['3', 'percent', 'murder', 'crime', 'commit', 'gun', 'peopl', 'actual', 'legal', 'purchas', 'gun']",1
"['neighborhood', 'school', 'close']",1
"['told', 'gay', 'organ', 'massachusett', 'would', 'stronger', 'advoc', 'special', 'right', 'even', 'ted', 'kennedi']",1
"['year', 'speaker', 'florida', 'hous', 'consist', 'offer', 'leaner', 'budget', 'governor', 'offer']",1
"['alreadi', 'almost', 'halfway', '2010', 'goal', 'creat', '700,000', 'new', 'job', 'seven', 'year']",0
"['say', 'u', 'suprem', 'court', 'found', 'social', 'secur', 'guarante']",1
"['saysmichael', 'bennet', 'want', 'close', 'guantanamo', 'bay', 'prisonand', 'bring', 'terrorist', 'right', 'colorado']",0
"['oregonian', 'amaz', 'no-cost', 'way', 'fight', 'abort', 'free', 'polit', 'donat']",1
"['presid', 'said', 'he', 'go', 'bring', '250,000', 'syrian', 'iraqi', 'refuge', 'countri']",0
"['research', 'show', 'vast', 'major', 'arriv', 'immigr', 'today', 'come', 'believ', 'govern', 'sourc', 'prosper', 'that', 'support']",0
"['newt', 'gingrich', 'immigr', 'plan', 'offer', 'new', 'doorway', 'amnesti']",1
"['mr', 'caprio', 'career', 'politician', 'never', 'work', 'privat', 'sector']",0
"['rhode', 'island', '9', 'percent', 'worker', 'use', 'state', 'temporari', 'disabl', 'insur', 'program', 'year', 'new', 'jersey', 'rate', '3', 'percent']",0
"['17', 'year', 'spend', 'social', 'secur', 'feder', 'health', 'care', 'interest', 'debt', 'exceed', 'tax', 'revenu']",1
"['presid', 'obama', 'took', 'money', 'wall', 'street', '2008', 'campaign', 'anybodi', 'ever']",1
"['donald', 'trump', 'said', 'nuclear', 'prolifer', 'ok']",1
"['hillari', 'clinton', 'taken', '000', 'lobbyist']",1
"['barack', 'obama', 'never', 'even', 'work', 'busi']",0
"['say', 'arizona', 'immigr', 'law', 'expressli', 'ban', 'racial', 'profil']",1
"['say', 'gov', 'rick', 'perri', 'beg', 'feder', 'govern', 'send', 'coast', 'guard', 'patrol', 'two', 'lake', 'u', 'mexico', 'border']",0
"['va', '300,000', 'veteran', 'die', 'wait', 'care']",0
"['spend', '42', 'percent', 'economi', 'govern']",1
"['rob', 'cornil', 'support', 'privat', 'medicar']",0
"['2005', 'dan', 'branch', 'tri', 'expand', 'third-trimest', 'abort', 'texa']",0
"['democrat', 'made', 'steadi', 'progress', 'creat', 'job', 'improv', 'school']",1
"['michigan', 'massachusett', 'rais', 'bottl', 'deposit', 'could', 'longer', 'afford', 'program', 'redempt', 'high', 'profit']",0
"['whether', 'like', 'admit', 'half', 'gener', 'revenu', 'goe', 'educ']",1
"['im', 'one', 'who', 'fought', 'develop', 'drain', 'everglad']",0
"['say', 'ron', 'johnson', 'call', 'social', 'secur', 'ponzi', 'scheme', 'want', 'privat', 'program']",1
"['31', 'state', '10,000', 'citi', 'type', 'polici', 'pass', 'refer', 'north', 'carolina', 'hous', 'bill', '2']",1
"['climat', 'chang', 'directli', 'relat', 'growth', 'terror']",0
"['job', 'bill', 'includ', 'presid', 'obama', 'tax', 'soup', 'kitchen']",0
"['say', 'obama', 'administr', 'spent', 'taxpay', 'dollar', 'electr', 'car', 'finland', 'windmil', 'china']",0
"['sarah', 'mayor', 'wasilla', 'tri', 'fire', 'highli', 'respect', 'citi', 'librarian', 'librarian', 'refus', 'consid', 'remov', 'librari', 'book', 'sarah', 'want', 'remov']",1
"['milwauke', 'approv', 'reduc', 'maximum', 'forfeitur', 'marijuana', 'possess', 'citi', 'would', '23', 'differ', 'bicycl', 'violat', 'higher', 'forfeitur']",1
"['illeg', 'immigr', 'five', 'year', 'ago']",0
"['say', 'rick', 'perri', 'wrote', 'letter', 'support', 'hillarycar']",0
"['u', 'patent', 'trademark', 'offic', 'receiv', 'zero', 'complaint', 'washington', 'redskin', 'name']",0
"['presid', 'health', 'care', 'propos', 'caus', 'american', 'premium', 'increas', 'decreas', 'hundr', 'million', 'peopl', 'lose', 'current', 'insur', 'coverag']",0
"['mexican', 'immigr', 'law-abid', 'u', 'citizen', 'statist']",1
"['say', 'chri', 'christi', 'veto', 'job', 'packag', '30', 'bill']",1
"['alreadi', 'american', 'job', 'solar', 'industri', 'coal', 'mine']",1
"['say', 'illinoi', 'gubernatori', 'candid', 'bill', 'bradi', 'first', 'prioriti', 'win', 'primari', 'sponsor', 'bill', 'would', 'mass-euthan', 'shelter', 'dog', 'cat', 'ga', 'chamber']",1
"['barack', 'obama', 'economi', 'that', 'worsen', 'sinc', 'he', 'presid', 'unit', 'state']",1
"['romney', 'fail', 'take', 'action', 'sanctuari', 'citi', 'massachusett']",1
"['say', 'new', 'jersey', 'nearli', '200,000', 'job', 'pre-recess', 'peak', 'gov', 'chri', 'christi', 'new', 'jersey', 'trail', 'rest', 'america', 'come', 'unemploy', '12', 'consecut', 'month']",1
"['say', 'thoma', 'eric', 'duncan', 'came', 'unit', 'state', 'elev', 'temperatur']",0
"['afghanistan', 'longer', 'foreign', 'land', 'conduct', 'war', 'nation', 'histori']",1
"['ga', 'price', 'gone', 'sinc', 'obama', 'took', 'offic']",1
"['webster', 'sponsor', 'bill', 'creat', 'form', 'marriag', 'would', 'trap', 'women', 'abus', 'relationship']",1
"['say', 'judg', 'get', 'better', 'benefit', 'lower', 'cost', 'everybodi', 'els', 'state']",1
"['lot', 'casino', 'across', 'countri', 'gone', 'bankrupt']",1
"['small', 'busi', 'creat', '70', 'percent', 'job', 'america']",1
"['senior', 'coverag', 'medicar', 'advantag', 'give', 'share', 'health', 'care', 'reform']",1
"['12,000', 'school', 'kid', 'arrest', 'florida', 'make', 'florida', 'nation', 'leader', 'area']",1
"['texa', 'countri', 'economi', 'would', 'rank', '10', '...', 'world']",1
"['oil', 'rig', 'oper', 'unit', 'state', 'rest', 'world', 'combin']",0
"['payday', 'lender', 'profit', 'poor', 'charg', '1,000-', 'plu', 'percent', 'interest']",1
"['social', 'secur', 'trust', 'fund', 'sound', 'without', 'anyth', 'done', 'would', 'function', 'well', '2038', 'even', 'time', 'chang', 'could', 'pay', '80', 'percent', 'benefit', 'peopl', 'earn']",1
"['commit', 'voter', 'take', 'serious', 'incumb', 'ohio', 'break', 'pledg', 'vote', 'ted', 'strickland', 'incom', 'tax', 'hike', 'defeat', 'soundli', 'tuesday']",1
"['obama', 'administr', 'shut', 'amber', 'alert', 'program', 'govern', 'shutdown']",0
"['republican', '2', 'percent', 'muslim', 'vote']",1
"['w', 'e', 'see', 'america', 'prison', 'popul', 'explod', 'america', 'greater', 'percentag', 'peopl', 'behind', 'bar', 'nation', 'world']",1
"['say', 'hear', 'rep', 'gabriel', 'gifford', 'suggest', 'gen', 'david', 'petraeu', 'armi', 'put', 'emphasi', 'less', 'environment', 'damag', 'method', 'like', 'stab', 'club', 'enemi', 'forc', 'order', 'minim', 'carbon', 'output']",0
"['everi', 'singl', 'one', '41', 'republican', 'senat', 'block', 'rais', 'minimum', 'wage', 'receiv', '800', 'cost-of-liv', 'adjust', 'januari', '1', '2015']",1
"['texa', '1', 'name', 'new', 'male', 'babi', 'mani', 'vote', 'one', 'day', 'jose']",1
"['marco', 'rubio', 'vote', 'author', 'presid', 'obama', 'strike', 'syria', 'assad', 'use', 'chemic', 'weapon', 'peopl']",1
"['cash', 'clunker', 'program', ""we'v"", 'got', '...', 'go', 'local', 'junkyard', 'got', 'tow', 'hous', 'go', 'get', '500']",0
"['one', 'republican', 'gut', 'recogn', 'climat', 'chang', 'real']",0
"['peopl', 'work', 'longer', 'hour', 'lower', 'wage', 'almost', 'new', 'incom', 'goe', 'top', '1', 'percent']",1
"['david', 'dewhurst', 'record', 'promot', 'incom', 'tax']",0
"['point', 'pleasant', 'beach', 'beach', 'privat', 'own', 'oper', 'busi', 'jenkinson']",1
"['past', 'year', '20', 'percent', 'american', 'chang', 'mind', 'war', 'afghanistan', 'conclud']",0
"['last', 'five', 'year', '28,000', 'peopl', 'kill', 'along', 'u', 'mexico', 'border']",0
"['state', 'ohio', 'one', 'lowest', 'unemploy', 'rate', 'nation', 'right', 'lead', 'pack', 'term', 'job', 'creation']",0
"['say', 'obama', 'health', 'reform', 'law', 'deni', 'million', 'access', 'afford', 'insur']",0
"['say', 'hb2', 'hasnt', 'move', 'needl', 'one', 'iota', 'north', 'carolina', 'economi']",0
"['close', '30', 'feder', 'prison', 'popul', 'consist', 'illeg', 'immigr']",0
"['say', 'rick', 'scott', 'call', 'educ', 'core', 'function', 'state']",0
"['famili', 'research', 'council', 'accord', 'govern', 'agenc', 'terrorist', 'group']",0
"['say', 'rep', 'jim', 'weidner', 'propos', 'bill', 'take', 'away', 'health', 'care', '80,000', 'oregon', 'children']",1
"['say', '1985', 'elect', 'former', 'gov', 'tom', 'kean', 'largest', 'win', 'margin', 'gubernatori', 'candid', 'jersey', 'histori']",1
"['obamacar', 'biggest', 'tax', 'increas', 'american', 'histori']",0
"['...', 'said', 'barack', 'obama', 'readi', 'command', 'chief']",1
"['median', 'male', 'worker', 'countri', 'seen', 'rais', 'inflat', 'adjust', '30', 'year', 'basic']",1
"['milwauke', 'mayor', 'tom', 'barrett', 'held', 'line', 'properti', 'tax']",0
"['im', 'member', 'hous', 'repres', 'rais', 'campaign', 'fund', 'last', 'elect', 'small', 'contribut', 'less']",1
"['unlik', 'gridlock', 'washington', '80', 'percent', 'bill', 'pass', 'gener', 'assembl', 'bipartisan', 'support']",1
"['josh', 'mandel', 'lie', 'record', 'rate', 'ohio', 'invest', 'fund', 'improv']",0
"['rick', 'scott', 'took', '000', 'famili', 'leas', 'land', 'drill', 'tri', 'hide']",1
"['money', 'possibl', 'leas', 'ohio', 'turnpik', 'would', 'use']",1
"['begin', 'last', 'decad', '...', 'america', 'budget', 'surplu', 'billion', 'time', 'took', 'offic', 'one-year', 'deficit', 'trillion', 'project', 'deficit', 'trillion', 'next', 'decad']",1
"['presid', '1,540', 'nomin', 'confirm', 'four', 'defeat']",1
"['u', 'taxpay', 'forc', 'fund', 'feisal', 'abdul', 'rauf', 'trip', 'middl', 'east']",1
"['milwauke', 'counti', 'taxpay', 'paid', '000', 'settl', 'lawsuit', 'decis', 'sheriff', 'david', 'clark', 'jr', 'use', 'untrain', 'correct', 'offic', 'rather', 'deputi', 'patrol', 'lakefront']",0
"['justic', 'depart', 'polici', 'fbi', 'director', 'jame', 'comey', 'discuss', 'detail', 'feder', 'investig', 'close', 'elect']",1
"['democrat', 'presid', 'consider', 'effect', 'creat', 'private-sector', 'job']",1
"['joe', 'biden', 'vote', 'first', 'gulf', 'war', 'oppos', 'surg', 'want', 'partit', 'iraq']",1
"['say', 'rush', 'limbaugh', 'made', 'clear', 'hed', 'rather', 'see', 'countri', 'fail', 'presid', 'barack', 'obama', 'succeed']",0
"['one', 'percent', 'american', 'peopl', 'make', '21', 'percent', 'incom', 'america', 'wasnt', 'way', 'georg', 'bush', 'becam', 'presid']",1
"['militari', 'recruit', 'went', 'harvard', 'everi', 'singl', 'day', 'throughout', 'time', 'kagan']",1
"['say', 'rick', 'perri', 'plan', 'texa', 'cut', 'fund', 'public', 'school', '25']",1
"['say', 'david', 'perdu', 'want', 'abolish', 'u', 'depart', 'educ', 'would', 'cost', 'georgia', 'school', 'billion', 'year', 'elimin', 'million', 'student', 'loan']",1
"['paul', 'ryan', 'budget', 'propos', 'would', 'privat', 'medicar']",1
"['high', 'school', 'student', 'arrest', 'campu', 'twice', 'like', 'graduat', 'four', 'time', 'less', 'like', 'graduat', 'theyv', 'appear', 'court']",1
"['unit', 'state', 'imprison', 'nation', 'world']",1
"['say', 'marco', 'rubio', 'one', 'open', 'border']",0
"['...', '30', 'year', 'feder', 'spend', 'educ', 'grown', '375', 'percent', 'test', 'score', 'remain', 'flat']",1
"['say', 'cut', 'medicar', 'affect', 'peopl', 'alreadi', 'paid', 'paid']",0
"['david', 'alameel', 'give', 'thousand', 'dollar', 'support', 'republican', 'parti', 'candid', 'includ', 'john', 'cornyn', 'greg', 'abbott']",0
"['american', 'healthcar', 'system', 'burn', '18', 'percent', 'nation', 'gdp', 'nobodi', 'els', 'close']",1
"['provid', 'port', '200', 'mile', 'closer', 'europ', 'eastern', 'port']",0
"['say', 'need', 'photo', 'id', 'purchas', 'sudaf', 'texa']",1
"['twenti', 'percent', 'hous', 'portland', 'pearl', 'district', 'afford']",1
"['say', 'allow', 'payrol', 'tax', 'holiday', 'expir', 'would', 'end', 'cost', 'anoth', 'estim', '900,000', 'job', '2012']",1
"['hillari', 'clinton', 'support', 'nafta', 'perman', 'china', 'trade', 'pennsylvania', 'lost', 'thousand', 'job']",1
"['numer', 'studi', 'shown', 'so-cal', 'right-to-work', 'law', 'gener', 'job', 'econom', 'growth']",1
"[""obama'"", 'budget', 'plan', 'would', 'take', 'nation', 'debt', '80', 'percent', 'gross', 'nation', 'product', '. ...', 'histor', '40', 'percent']",1
"['say', 'hillari', 'clinton', 'said', 'veteran', 'affair', 'scandal', 'over-exagger', 'said', 'satisfi', 'go']",0
"['driven', 'health', 'care', 'cost', 'lowest', 'theyv', '50', 'year']",0
"['presid', 'barack', ""obama'"", 'initi', 'respons', 'heard', 'christma', 'underwear', 'bomber', 'say', 'act', 'isol', 'extremist']",1
